STATE	DMEPOS RURAL ZIP CODE	YEAR/QTR
NY	13124	202501
NY	13136	202501
NY	13139	202501
NY	13140	202501
NY	13141	202501
NY	13147	202501
NY	13148	202501
NY	13155	202501
NY	13156	202501
NY	13158	202501
NY	13160	202501
NY	13165	202501
NY	13166	202501
NY	13305	202501
NY	13312	202501
NY	13315	202501
NY	13317	202501
NY	13320	202501
NY	13325	202501
NY	13326	202501
NY	13327	202501
NY	13333	202501
NY	13335	202501
NY	13337	202501
NY	13339	202501
NY	13342	202501
NY	13343	202501
NY	13345	202501
NY	13348	202501
NY	13353	202501
NY	13360	202501
NY	13367	202501
NY	13368	202501
NY	13404	202501
NY	13410	202501
NY	13411	202501
NY	13415	202501
NY	13428	202501
NY	13433	202501
NY	13436	202501
NY	13439	202501
NY	13450	202501
NY	13452	202501
NY	13457	202501
NY	13460	202501
NY	13464	202501
NY	13468	202501
NY	13470	202501
NY	13473	202501
NY	13482	202501
NY	13488	202501
NY	13489	202501
NY	13613	202501
NY	13614	202501
NY	13617	202501
NY	13620	202501
NY	13621	202501
NY	13623	202501
NY	13625	202501
NY	13626	202501
NY	13627	202501
NY	13630	202501
NY	13631	202501
NY	13633	202501
NY	13635	202501
NY	13639	202501
NY	13642	202501
NY	13645	202501
NY	13646	202501
NY	13647	202501
NY	13648	202501
NY	13649	202501
NY	13652	202501
NY	13654	202501
NY	13655	202501
NY	13658	202501
NY	13660	202501
NY	13662	202501
NY	13664	202501
NY	13665	202501
NY	13666	202501
NY	13667	202501
NY	13668	202501
NY	13669	202501
NY	13670	202501
NY	13672	202501
NY	13676	202501
NY	13677	202501
NY	13678	202501
NY	13680	202501
NY	13681	202501
NY	13683	202501
NY	13684	202501
NY	13687	202501
NY	13690	202501
NY	13694	202501
NY	13695	202501
NY	13696	202501
NY	13697	202501
NY	13699	202501
NY	13730	202501
NY	13731	202501
NY	13733	202501
NY	13738	202501
NY	13739	202501
NY	13740	202501
NY	13747	202501
NY	13750	202501
NY	13751	202501
NY	13752	202501
NY	13753	202501
NY	13755	202501
NY	13756	202501
NY	13757	202501
NY	13758	202501
NY	13774	202501
NY	13775	202501
NY	13776	202501
NY	13778	202501
NY	13780	202501
NY	13782	202501
NY	13783	202501
NY	13784	202501
NY	13786	202501
NY	13788	202501
NY	13796	202501
NY	13801	202501
NY	13803	202501
NY	13804	202501
NY	13806	202501
NY	13807	202501
NY	13808	202501
NY	13809	202501
NY	13810	202501
NY	13814	202501
NY	13815	202501
NY	13820	202501
NY	13825	202501
NY	13830	202501
NY	13832	202501
NY	13834	202501
NY	13838	202501
NY	13839	202501
NY	13841	202501
NY	13842	202501
NY	13843	202501
NY	13844	202501
NY	13846	202501
NY	13847	202501
NY	13849	202501
NY	13856	202501
NY	13859	202501
NY	13860	202501
NY	13861	202501
NY	13863	202501
NY	14005	202501
NY	14009	202501
NY	14011	202501
NY	14013	202501
NY	14020	202501
NY	14021	202501
NY	14024	202501
NY	14029	202501
NY	14036	202501
NY	14037	202501
NY	14039	202501
NY	14040	202501
NY	14041	202501
NY	14042	202501
NY	14048	202501
NY	14054	202501
NY	14056	202501
NY	14058	202501
NY	14060	202501
NY	14062	202501
NY	14063	202501
NY	14065	202501
NY	14066	202501
NY	14070	202501
NY	14082	202501
NY	14083	202501
NY	14101	202501
NY	14113	202501
NY	14125	202501
NY	14129	202501
NY	14130	202501
NY	14133	202501
NY	14135	202501
NY	14136	202501
NY	14138	202501
NY	14143	202501
NY	14145	202501
NY	14166	202501
NY	14167	202501
NY	14168	202501
NY	14171	202501
NY	14173	202501
NY	14416	202501
NY	14422	202501
NY	14427	202501
NY	14482	202501
NY	14521	202501
NY	14525	202501
NY	14529	202501
NY	14530	202501
NY	14536	202501
NY	14541	202501
NY	14549	202501
NY	14550	202501
NY	14557	202501
NY	14569	202501
NY	14572	202501
NY	14588	202501
NY	14591	202501
NY	14701	202501
NY	14702	202501
NY	14706	202501
NY	14707	202501
NY	14708	202501
NY	14709	202501
NY	14710	202501
NY	14711	202501
NY	14712	202501
NY	14714	202501
NY	14715	202501
NY	14716	202501
NY	14717	202501
NY	14718	202501
NY	14719	202501
NY	14720	202501
NY	14721	202501
NY	14722	202501
NY	14723	202501
NY	14724	202501
NY	14726	202501
NY	14727	202501
NY	14728	202501
NY	14729	202501
NY	14730	202501
NY	14731	202501
NY	14732	202501
NY	14733	202501
NY	14735	202501
NY	14736	202501
NY	14737	202501
NY	14738	202501
NY	14739	202501
NY	14740	202501
NY	14741	202501
NY	14742	202501
NY	14743	202501
NY	14744	202501
NY	14745	202501
NY	14747	202501
NY	14748	202501
NY	14750	202501
NY	14751	202501
NY	14752	202501
NY	14753	202501
NY	14754	202501
NY	14755	202501
NY	14756	202501
NY	14757	202501
NY	14758	202501
NY	14760	202501
NY	14766	202501
NY	14767	202501
NY	14769	202501
NY	14770	202501
NY	14772	202501
NY	14774	202501
NY	14775	202501
NY	14777	202501
NY	14778	202501
NY	14779	202501
NY	14781	202501
NY	14782	202501
NY	14783	202501
NY	14784	202501
NY	14785	202501
NY	14786	202501
NY	14787	202501
NY	14788	202501
NY	14801	202501
NY	14802	202501
NY	14803	202501
NY	14804	202501
NY	14805	202501
NY	14806	202501
NY	14807	202501
NY	14808	202501
NY	14809	202501
NY	14810	202501
NY	14812	202501
NY	14813	202501
NY	14815	202501
NY	14818	202501
NY	14819	202501
NY	14820	202501
NY	14821	202501
NY	14822	202501
NY	14823	202501
NY	14824	202501
NY	14826	202501
NY	14827	202501
NY	14830	202501
NY	14831	202501
NY	14839	202501
NY	14840	202501
NY	14841	202501
NY	14843	202501
NY	14847	202501
NY	14855	202501
NY	14856	202501
NY	14858	202501
NY	14860	202501
NY	14863	202501
NY	14865	202501
NY	14869	202501
NY	14870	202501
NY	14873	202501
NY	14874	202501
NY	14876	202501
NY	14877	202501
NY	14878	202501
NY	14879	202501
NY	14880	202501
NY	14884	202501
NY	14885	202501
NY	14887	202501
NY	14891	202501
NY	14893	202501
NY	14895	202501
NY	14897	202501
NY	14898	202501
PA	15310	202501
PA	15315	202501
PA	15316	202501
PA	15320	202501
PA	15325	202501
